ProjectCode,ReportMonth,ProjectName,OriginalCost,RevisedCost,Expenditure,CurrentExpenditureRatio,RobustCurrentExpenditurePct,Physical Progress,CurrentScheduleDelayDays,CurrentScheduleStatus,Prev_Expenditure,Prev_OriginalCost,Prev_RevisedCost,Prev_ExpenditureRatio,Prev_PhysicalProgress,Prev_ProgressRemaining,ProgressVelocity,ProjectAgeDays,ElapsedDays,PlannedDurationDays,RemainingPlannedDays,ScheduleElapsedRatio,ProgressScheduleGap,Prev_RobustExpenditurePct,ExpenditureChange,CostGrowth,ScheduleDelayChangeDays,HasPreviousRevisedCost,HasPreviousRevisedDoc,HasPreviousTargetDoc,InvalidPlannedDuration,DateInconsistencyFlag,State,Agency,FutureTimeOverrun
400019,2026-05,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],492.76,1170.83,542.26,110.04545823524636,46.314153207553616,25.0,-900.0,WithinPlan,519.29,492.76,1170.83,105.38395973699164,25.0,75.0,0.0,2677.0,1126.0,2026.0,900.0,0.5557749259624877,-30.577492596248767,44.35229708839029,22.970000000000027,0.0,30.0,1,1,1,0,0,Maharashtra,Central Railway,0
400022,2026-04,Taranga Hill-Abu Road via Ambaji,2798.0,2798.0,2439.32,87.18084345961402,87.18084345961402,37.0,-660.0,WithinPlan,,,,,,,,1370.0,1370.0,2030.0,660.0,0.6748768472906403,-30.48768472906403,,,,,0,0,0,0,0,"Multi-States(Gujarat,Rajasthan)",North Western Railway [NWR],0
400022,2026-05,Taranga Hill-Abu Road via Ambaji,2798.0,2798.0,2569.32,91.82701929949964,91.82701929949964,37.0,-630.0,WithinPlan,2439.32,2798.0,2798.0,87.18084345961402,37.0,63.0,0.0,1400.0,1400.0,2030.0,630.0,0.6896551724137931,-31.965517241379317,87.18084345961402,130.0,0.0,30.0,1,1,1,0,0,"Multi-States(Gujarat,Rajasthan)",North Western Railway [NWR],0
400023,2026-04,Construction of New BG line between Hassan to Belur [27 Km],749.0,749.0,0.94,0.1255006675567423,0.1255006675567423,0.3,-1907.0,WithinPlan,,,,,,,,2588.0,121.0,2028.0,1907.0,0.059664694280078895,-5.66646942800789,,,,,0,0,0,0,1,Karnataka,South Western Railway [SWR] - II,1
400023,2026-05,Construction of New BG line between Hassan to Belur [27 Km],749.0,749.0,0.94,0.1255006675567423,0.1255006675567423,0.0,-1877.0,WithinPlan,0.94,749.0,749.0,0.1255006675567423,0.3,99.7,-0.3,2618.0,151.0,2028.0,1877.0,0.07445759368836292,-7.445759368836293,0.1255006675567423,0.0,0.0,30.0,1,1,1,0,0,Karnataka,South Western Railway [SWR] - II,0
400033,2026-04,BHATADI EXPANSION OC,580.61,580.61,112.17,19.31933655982501,19.31933655982501,33.91,-597.0,WithinPlan,,,,,,,,2251.0,1431.0,2028.0,597.0,0.7056213017751479,-36.65213017751479,,,,,0,0,0,0,0,Maharashtra,Western Coalfields Limited [WCL],0
400033,2026-05,BHATADI EXPANSION OC,580.61,580.61,112.17,19.31933655982501,19.31933655982501,33.91,-567.0,WithinPlan,112.17,580.61,580.61,19.31933655982501,33.91,66.09,0.0,2281.0,1461.0,2028.0,567.0,0.7204142011834319,-38.1314201183432,19.31933655982501,0.0,0.0,30.0,1,0,1,0,0,Maharashtra,Western Coalfields Limited [WCL],0
400035,2026-04,"Grass Root Rail-fed Depot at Sekerkote, Agartala as resitement of existingDharmanagar Depot",656.0,656.0,537.17,81.88567073170732,81.88567073170732,97.0,-625.0,WithinPlan,,,,,,,,1400.0,1400.0,2025.0,625.0,0.691358024691358,27.864197530864203,,,,,0,0,0,0,0,Tripura,Indian Oil Corporation Limited [IOCL],0
400043,2026-04,"Laying of POL Pipelines in Common Corridor for proposed grass root terminal atVallur [Chennai]",829.0,829.0,350.21,42.24487334137515,42.24487334137515,76.2,-475.0,WithinPlan,,,,,,,,1551.0,1551.0,2026.0,475.0,0.7655478775913129,-0.354787759131284,,,,,0,0,0,0,0,Tamil Nadu,Ministry of Petroleum & Natural Gas,1
400043,2026-05,Laying of POL Pipelines in Common Corridor for proposed grass root terminal at Vallur [Chennai],829.0,829.0,378.18,45.618817852834745,45.618817852834745,78.0,-445.0,WithinPlan,350.21,829.0,829.0,42.24487334137515,76.2,23.799999999999997,1.7999999999999972,1581.0,1581.0,2026.0,445.0,0.78035538005923,-0.03553800592300149,42.24487334137515,27.970000000000027,0.0,30.0,1,1,1,0,0,Tamil Nadu,Ministry of Petroleum & Natural Gas,0
400045,2026-04,"Proposed 6 nos Road Over Bridge [ROB] at different locations under MCL TalcherUnder Deposit Scheme.",168.32,168.32,69.85,41.49833650190114,41.49833650190114,82.0,-655.0,WithinPlan,,,,,,,,1339.0,1370.0,2025.0,655.0,0.6765432098765433,14.34567901234567,,,,,0,0,0,0,1,Odisha,East Coast Railway [ECoR] - II,0
400045,2026-05,Proposed 6 nos Road Over Bridge [ROB] at different locations under MCL Talcher Under Deposit Scheme.,168.32,168.32,69.85,41.49833650190114,41.49833650190114,82.0,-625.0,WithinPlan,69.85,168.32,168.32,41.49833650190114,82.0,18.0,0.0,1369.0,1400.0,2025.0,625.0,0.691358024691358,12.864197530864203,41.49833650190114,0.0,0.0,30.0,1,1,1,0,1,Odisha,East Coast Railway [ECoR] - II,0
400047,2026-04,"Doubling of Lingaraj SILO connectivity of NTPC line and augmentation of NTPCexchange yard and NTPC Block Cabin.",210.0,210.0,39.31,18.719047619047622,18.719047619047622,52.0,-624.0,WithinPlan,,,,,,,,1339.0,1400.0,2024.0,624.0,0.691699604743083,-17.169960474308297,,,,,0,0,0,0,0,Odisha,East Coast Railway [ECoR] - II,0
400047,2026-05,Doubling of Lingaraj SILO connectivity of NTPC line and augmentation of NTPC exchange yard and NTPC Block Cabin.,210.0,210.0,40.56,19.314285714285713,19.314285714285713,52.0,-594.0,WithinPlan,39.31,210.0,210.0,18.719047619047622,52.0,48.0,0.0,1369.0,1430.0,2024.0,594.0,0.7065217391304348,-18.652173913043484,18.719047619047622,1.25,0.0,30.0,1,1,1,0,0,Odisha,East Coast Railway [ECoR] - II,0
400048,2026-04,Doubling of lines connecting the loading spurs in Talcher Yard.,186.21,186.21,100.97,54.223725900864615,54.223725900864615,88.0,-624.0,WithinPlan,,,,,,,,1308.0,1400.0,2024.0,624.0,0.691699604743083,18.830039525691703,,,,,0,0,0,0,0,Odisha,East Coast Railway [ECoR] - II,0
400048,2026-05,Doubling of lines connecting the loading spurs in Talcher Yard.,186.21,186.21,103.1,55.36759572525642,55.36759572525642,88.0,-594.0,WithinPlan,100.97,186.21,186.21,54.223725900864615,88.0,12.0,0.0,1338.0,1430.0,2024.0,594.0,0.7065217391304348,17.347826086956516,54.223725900864615,2.1299999999999955,0.0,30.0,1,1,1,0,0,Odisha,East Coast Railway [ECoR] - II,0
400062,2026-04,"Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia,West Bengal",17673.0,17673.0,1950.25,11.03519493011939,11.03519493011939,9.4,-1605.0,WithinPlan,,,,,,,,1186.0,424.0,2029.0,1605.0,0.20896993592902907,-11.496993592902905,,,,,0,0,0,0,0,West Bengal,Damodar Valley Corporation,0
400062,2026-05,"Raghunathpur Thermal Power Station Phase II [2X660 MW] at Raghunathpur, Purulia, West Bengal",17673.0,17673.0,2043.87,11.564929553556272,11.564929553556272,10.0,-1575.0,WithinPlan,1950.25,17673.0,17673.0,11.03519493011939,9.4,90.6,0.5999999999999996,1216.0,454.0,2029.0,1575.0,0.22375554460325284,-12.375554460325283,11.03519493011939,93.61999999999989,0.0,30.0,1,0,1,0,0,West Bengal,Damodar Valley Corporation,0
400073,2026-04,KONAR EXPANSION OCP,799.34,799.34,433.64,54.2497560487402,54.2497560487402,53.47,-481.0,WithinPlan,,,,,,,,1551.0,1551.0,2032.0,481.0,0.7632874015748031,-22.858740157480312,,,,,0,0,0,0,0,Jharkhand,Ministry of Coal,0
400073,2026-05,KONAR EXPANSION OCP,674.65,674.65,433.64,64.27629141036093,64.27629141036093,46.25,-451.0,WithinPlan,433.64,799.34,799.34,54.2497560487402,53.47,46.53,-7.219999999999999,1581.0,1581.0,2032.0,451.0,0.7780511811023622,-31.555118110236222,54.2497560487402,0.0,-0.1559911927340056,30.0,1,0,1,0,0,Jharkhand,Ministry of Coal,0
400074,2026-04,KARO EXPANSION OCP,908.47,908.47,289.45,31.86126124142789,31.86126124142789,23.57,-478.0,WithinPlan,,,,,,,,1551.0,1551.0,2029.0,478.0,0.7644159684573681,-52.87159684573681,,,,,0,0,0,0,0,Jharkhand,Ministry of Coal,0
400074,2026-05,KARO EXPANSION OCP,849.31,849.31,289.45,34.080606610071705,34.080606610071705,22.38,-448.0,WithinPlan,289.45,908.47,908.47,31.86126124142789,23.57,76.43,-1.1900000000000013,1581.0,1581.0,2029.0,448.0,0.7792015771315919,-55.54015771315919,31.86126124142789,0.0,-0.06512047728598641,30.0,1,0,1,0,0,Jharkhand,Ministry of Coal,0
400078,2026-04,New Mundra Panipat Crude Oil Pipeline,9028.0,9028.0,7160.82,79.31789986708019,79.31789986708019,91.4,-442.0,WithinPlan,,,,,,,,1582.0,1582.0,2024.0,442.0,0.7816205533596838,13.237944664031616,,,,,0,0,0,0,0,"Multi-States(Gujarat, Haryana,Rajasthan)",Ministry of Petroleum & Natural Gas,0
400078,2026-05,New Mundra Panipat Crude Oil Pipeline,9028.0,9028.0,7456.3,82.59082853345149,82.59082853345149,92.7,-412.0,WithinPlan,7160.82,9028.0,9028.0,79.31789986708019,91.4,8.599999999999994,1.2999999999999972,1612.0,1612.0,2024.0,412.0,0.7964426877470355,13.055731225296455,79.31789986708019,295.4800000000005,0.0,30.0,1,1,1,0,0,"Multi-States(Gujarat, Haryana,Rajasthan)",Ministry of Petroleum & Natural Gas,0
400081,2026-04,"National Sports University [NSU], Imphal [Manipur]",906.47,611.74,574.12,63.33579710304809,93.85032857096152,97.0,-473.0,WithinPlan,,,,,,,,,1551.0,2024.0,473.0,0.7663043478260869,20.36956521739131,,,,,0,0,0,0,0,Manipur,Department of Sports & Youth Affairs,0
400087,2026-04,Redevelopment of Sobhasan Complex,885.63,1347.61,990.06,111.79160597540734,73.4678430703245,87.5,-323.0,WithinPlan,,,,,,,,1704.0,1704.0,2027.0,323.0,0.8406512086827824,3.4348791317217575,,,,,0,0,0,0,0,Gujarat,Oil and Natural Gas Corporation Limited [ONGC],0
400087,2026-05,Redevelopment of Sobhasan Complex,885.63,1347.61,1022.45,115.44888949109674,75.87135744020898,89.2,-293.0,WithinPlan,990.06,885.63,1347.61,111.79160597540734,87.5,12.5,1.7000000000000028,1734.0,1734.0,2027.0,293.0,0.8554514060187469,3.6548593981253106,73.4678430703245,32.3900000000001,0.0,30.0,1,1,1,0,0,Gujarat,Oil and Natural Gas Corporation Limited [ONGC],0
400100,2026-04,Sardar Gouthu Latchanna Thotapalli Barrage Project,353.05,1023.24,872.65,247.17462115847613,85.28302255580313,95.88,5376.0,SeverelyOverdue,,,,,,,,7670.0,7395.0,2019.0,-5376.0,3.662704309063893,-270.39043090638927,,,,,0,0,0,0,0,Andhra Pradesh,Water Resources-AP,0
400100,2026-05,Sardar Gouthu Latchanna Thotapalli Barrage Project,353.05,1023.24,872.65,247.17462115847613,85.28302255580313,95.88,5406.0,SeverelyOverdue,872.65,353.05,1023.24,247.17462115847613,95.88,4.1200000000000045,0.0,7700.0,7425.0,2019.0,-5406.0,3.677563150074294,-271.8763150074294,85.28302255580313,0.0,0.0,30.0,1,1,1,0,0,Andhra Pradesh,Water Resources-AP,0
400101,2026-04,Gundlakamma project,397.41,697.39,619.46,155.87428600186206,88.82547785313814,98.3,5651.0,SeverelyOverdue,,,,,,,,7670.0,7670.0,2019.0,-5651.0,3.798910351659237,-281.5910351659237,,,,,0,0,0,0,0,Andhra Pradesh,Water Resources-AP,0
400101,2026-05,Gundlakamma project,397.41,697.39,624.78,157.21295387634936,89.58832217267239,98.3,5681.0,SeverelyOverdue,619.46,397.41,697.39,155.87428600186206,98.3,1.7000000000000028,0.0,7700.0,7700.0,2019.0,-5681.0,3.8137691926696387,-283.07691926696384,88.82547785313814,5.319999999999936,0.0,30.0,1,1,1,0,0,Andhra Pradesh,Water Resources-AP,0
400102,2026-04,Sri Ram Sagar Project Stage - II,736.13,949.87,971.47,131.96989662152066,102.27399538884268,97.0,5651.0,SeverelyOverdue,,,,,,,,10957.0,7670.0,2019.0,-5651.0,3.798910351659237,-282.8910351659237,,,,,0,0,0,0,0,Telangana,Irrigation and CAD-TG,0
400102,2026-05,Sri Ram Sagar Project Stage - II,736.13,949.87,971.47,131.96989662152066,102.27399538884268,97.0,5681.0,SeverelyOverdue,971.47,736.13,949.87,131.96989662152066,97.0,3.0,0.0,10987.0,7700.0,2019.0,-5681.0,3.8137691926696387,-284.37691926696385,102.27399538884268,0.0,0.0,30.0,1,1,1,0,0,Telangana,Irrigation and CAD-TG,0
400103,2026-04,Indiramma Flood Flow Canal Project,1331.3,5940.09,4491.08,337.34545181401637,75.60626185798532,92.0,5376.0,SeverelyOverdue,,,,,,,,10957.0,7395.0,2019.0,-5376.0,3.662704309063893,-274.27043090638927,,,,,0,0,0,0,0,Telangana,Irrigation and CAD-TG,0
400103,2026-05,Indiramma Flood Flow Canal Project,1331.3,5940.09,4491.08,337.34545181401637,75.60626185798532,92.0,5406.0,SeverelyOverdue,4491.08,1331.3,5940.09,337.34545181401637,92.0,8.0,0.0,10987.0,7425.0,2019.0,-5406.0,3.677563150074294,-275.7563150074294,75.60626185798532,0.0,0.0,30.0,1,1,1,0,0,Telangana,Irrigation and CAD-TG,0
400111,2026-04,Kelo Irrigation Project,459.97,727.04,618.85,134.54138313368261,85.11911311619718,72.0,4555.0,SeverelyOverdue,,,,,,,,6574.0,6574.0,2019.0,-4555.0,3.256067360079247,-253.60673600792472,,,,,0,0,0,0,0,Chhattisgarh,Water Resources-CT,0
400111,2026-05,Kelo Irrigation Project,459.97,727.04,618.85,134.54138313368261,85.11911311619718,72.0,4585.0,SeverelyOverdue,618.85,459.97,727.04,134.54138313368261,72.0,28.0,0.0,6604.0,6604.0,2019.0,-4585.0,3.2709262010896483,-255.0926201089648,85.11911311619718,0.0,0.0,30.0,1,1,1,0,0,Chhattisgarh,Water Resources-CT,0
400115,2026-04,Bargi Diversion Project Phase - IV [km. 154 to km 197],751.03,893.35,814.02,108.38714831631226,91.11994179213075,75.0,4280.0,SeverelyOverdue,,,,,,,,6574.0,6299.0,2019.0,-4280.0,3.119861317483903,-236.98613174839028,,,,,0,0,0,0,0,Madhya Pradesh,Water Resources-MP,0
400115,2026-05,Bargi Diversion Project Phase - IV [km. 154 to km 197],751.03,893.35,814.02,108.38714831631226,91.11994179213075,75.0,4310.0,SeverelyOverdue,814.02,751.03,893.35,108.38714831631226,75.0,25.0,0.0,6604.0,6329.0,2019.0,-4310.0,3.134720158494304,-238.47201584943042,91.11994179213075,0.0,0.0,30.0,1,1,1,0,0,Madhya Pradesh,Water Resources-MP,0
400116,2026-04,Bargi Diversion Project Phase - III [km. 104 to km 154],1229.15,1399.7,2190.05,178.17597526746124,156.46567121526041,81.42,4921.0,SeverelyOverdue,,,,,,,,6940.0,6940.0,2019.0,-4921.0,3.4373452204061414,-262.3145220406141,,,,,0,0,0,0,0,Madhya Pradesh,Water Resources-MP,0
400116,2026-05,Bargi Diversion Project Phase - III [km. 104 to km 154],1229.15,1399.7,2203.81,179.29544807387217,157.44873901550332,81.52,4951.0,SeverelyOverdue,2190.05,1229.15,1399.7,178.17597526746124,81.42,18.58,0.09999999999999432,6970.0,6970.0,2019.0,-4951.0,3.452204061416543,-263.7004061416543,156.46567121526041,13.759999999999764,0.0,30.0,1,1,1,0,0,Madhya Pradesh,Water Resources-MP,0
400119,2026-04,Life Extension of 48 well platforms of Mumbai High & Heera Fields,3190.69,3375.9,3123.2,97.88478354211783,92.51458870227198,90.0,1756.0,SeverelyOverdue,,,,,,,,3774.0,3774.0,2018.0,-1756.0,1.8701684836471755,-97.01684836471756,,,,,0,0,0,0,0,Offshore,Oil and Natural Gas Corporation Limited [ONGC],1
400119,2026-05,Life Extension of 48 well platforms of Mumbai High & Heera Fields,3190.69,3375.9,3123.2,97.88478354211783,92.51458870227198,90.0,1786.0,SeverelyOverdue,3123.2,3190.69,3375.9,97.88478354211783,90.0,10.0,0.0,3804.0,3804.0,2018.0,-1786.0,1.8850346878097126,-98.50346878097128,92.51458870227198,0.0,0.0,30.0,1,1,1,0,0,Offshore,Oil and Natural Gas Corporation Limited [ONGC],0
400120,2026-04,KG-DWN-98/2 Cluster - II Development Project - NELP Block,34012.0,34012.0,33006.7,97.04427848994472,97.04427848994472,96.5,1663.0,SeverelyOverdue,,,,,,,,3683.0,3683.0,2020.0,-1663.0,1.8232673267326733,-85.82673267326734,,,,,0,0,0,0,0,Andhra Pradesh,Oil and Natural Gas Corporation Limited [ONGC],0
400120,2026-05,KG-DWN-98/2 Cluster - II Development Project - NELP Block,34012.0,34012.0,33006.7,97.04427848994472,97.04427848994472,96.6,1693.0,SeverelyOverdue,33006.7,34012.0,34012.0,97.04427848994472,96.5,3.5,0.09999999999999432,3713.0,3713.0,2020.0,-1693.0,1.8381188118811882,-87.21188118811884,97.04427848994472,0.0,0.0,30.0,1,1,1,0,0,Andhra Pradesh,Oil and Natural Gas Corporation Limited [ONGC],0
400121,2026-04,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore MiningComplex of NMDC Limited at Ballari Dt, Karnataka.",1043.63,1043.63,609.8,58.43066987342256,58.43066987342256,63.1,-1357.0,WithinPlan,,,,,,,,4169.0,669.0,2026.0,1357.0,0.3302073050345508,30.079269496544917,,,,,0,0,0,0,0,Karnataka,National Mineral Development Corporation Limited [NMDC],0
400121,2026-05,"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",1043.63,1043.63,628.29,60.202370571945984,60.202370571945984,65.0,-1327.0,WithinPlan,609.8,1043.63,1043.63,58.43066987342256,63.1,36.9,1.8999999999999986,4199.0,699.0,2026.0,1327.0,0.34501480750246794,30.49851924975321,58.43066987342256,18.49000000000001,0.0,30.0,1,0,1,0,0,Karnataka,National Mineral Development Corporation Limited [NMDC],0
400136,2026-04,SANGHMITRA OC,2660.0,2660.0,16.1,0.605263157894737,0.605263157894737,16.77,-1271.0,WithinPlan,,,,,,,,761.0,761.0,2032.0,1271.0,0.37450787401574803,-20.6807874015748,,,,,0,0,0,0,0,Jharkhand,Ministry of Coal,0
400136,2026-05,SANGHMITRA OC,2660.0,2660.0,17.03,0.6402255639097745,0.6402255639097745,16.77,-1241.0,WithinPlan,16.1,2660.0,2660.0,0.605263157894737,16.77,83.23,0.0,791.0,791.0,2032.0,1241.0,0.38927165354330706,-22.157165354330704,0.605263157894737,0.9299999999999997,0.0,30.0,1,0,1,0,0,Jharkhand,Ministry of Coal,0
400138,2026-04,CHANDRAGUPT OCP,973.5,973.5,440.75,45.27478171545968,45.27478171545968,24.86,37.0,ModeratelyOverdue,,,,,,,,2069.0,2069.0,2032.0,-37.0,1.018208661417323,-76.9608661417323,,,,,0,0,0,0,0,Jharkhand,Ministry of Coal,0
400138,2026-05,CHANDRAGUPT OCP,973.5,973.5,440.75,45.27478171545968,45.27478171545968,25.03,67.0,ModeratelyOverdue,440.75,973.5,973.5,45.27478171545968,24.86,75.14,0.1700000000000017,2099.0,2099.0,2032.0,-67.0,1.032972440944882,-78.26724409448819,45.27478171545968,0.0,0.0,30.0,1,0,1,0,0,Jharkhand,Ministry of Coal,0
400139,2026-04,KOTRE BASANTPUR PACHMO OCP,861.06,625.4,455.95,52.95217522588438,72.9053405820275,47.95,37.0,ModeratelyOverdue,,,,,,,,2069.0,2069.0,2032.0,-37.0,1.018208661417323,-53.87086614173229,,,,,0,0,0,0,0,Jharkhand,Ministry of Coal,0
400139,2026-05,KOTRE BASANTPUR PACHMO OCP,861.06,625.4,456.48,53.01372726639259,72.99008634473937,45.52,67.0,ModeratelyOverdue,455.95,861.06,625.4,52.95217522588438,47.95,52.05,-2.4299999999999997,2099.0,2099.0,2032.0,-67.0,1.032972440944882,-57.77724409448819,72.9053405820275,0.5300000000000296,0.0,30.0,1,0,1,0,0,Jharkhand,Ministry of Coal,0
400141,2026-04,"Expansion of Alumina Refinery Plant with addition of 5th Stream having capacityenhancement of 1.0 Million Tonee Per Annum",4103.0,5677.4,4887.6,119.12259322446992,86.08870257512243,94.2,1265.0,SeverelyOverdue,,,,,,,,3287.0,3287.0,2022.0,-1265.0,1.6256181998021761,-68.36181998021762,,,,,0,0,0,0,0,Odisha,National Aluminium Company Limited [NALCO],0
400141,2026-05,Expansion of Alumina Refinery Plant with addition of 5th Stream having capacity enhancement of 1.0 Million Tonee Per Annum,4103.0,5677.4,4920.25,119.91835242505485,86.66378976291965,94.7,1295.0,SeverelyOverdue,4887.6,4103.0,5677.4,119.12259322446992,94.2,5.799999999999997,0.5,3317.0,3317.0,2022.0,-1295.0,1.6404549950544016,-69.34549950544015,86.08870257512243,32.649999999999636,0.0,30.0,1,1,1,0,0,Odisha,National Aluminium Company Limited [NALCO],0
400142,2026-04,Pachwara South Coal Block,2242.9,2242.9,1365.83,60.89571536849614,60.89571536849614,87.0,315.0,SeverelyOverdue,,,,,,,,3683.0,2343.0,2028.0,-315.0,1.1553254437869822,-28.53254437869822,,,,,0,0,0,0,0,Jharkhand,NLC India Limited [NLCIL],0
400142,2026-05,Pachwara South Coal Block,2242.9,2242.9,1388.09,61.88818048062775,61.88818048062775,87.0,345.0,SeverelyOverdue,1365.83,2242.9,2242.9,60.89571536849614,87.0,13.0,0.0,3713.0,2373.0,2028.0,-345.0,1.1701183431952662,-30.011834319526614,60.89571536849614,22.25999999999999,0.0,30.0,1,0,1,0,0,Jharkhand,NLC India Limited [NLCIL],0
400144,2026-04,PORDA CHIMTAPANI OCP [10 MTY],2310.12,2310.12,113.83,4.927449656294911,4.927449656294911,11.81,-82.0,WithinPlan,,,,,,,,1947.0,1947.0,2029.0,82.0,0.9595860029571217,-84.14860029571217,,,,,0,0,0,0,0,Chhattisgarh,South Eastern Coalfields Limited [SECL],0
400144,2026-05,PORDA CHIMTAPANI OCP [10 MTY],2310.12,2310.12,115.62,5.004934808581373,5.004934808581373,11.81,-52.0,WithinPlan,113.83,2310.12,2310.12,4.927449656294911,11.81,88.19,0.0,1977.0,1977.0,2029.0,52.0,0.9743716116313454,-85.62716116313455,4.927449656294911,1.7900000000000063,0.0,30.0,1,0,1,0,0,Chhattisgarh,South Eastern Coalfields Limited [SECL],0
400148,2026-04,AMADAND OCP[4.0MTY],869.44,869.44,325.4,37.4263894000736,37.4263894000736,75.15,1662.0,SeverelyOverdue,,,,,,,,3683.0,3683.0,2021.0,-1662.0,1.822365165759525,-107.08651657595249,,,,,0,0,0,0,0,Madhya Pradesh,Ministry of Coal,0
400148,2026-05,AMADAND OCP[4.0MTY],869.44,869.44,325.4,37.4263894000736,37.4263894000736,75.15,1692.0,SeverelyOverdue,325.4,869.44,869.44,37.4263894000736,75.15,24.849999999999994,0.0,3713.0,3713.0,2021.0,-1692.0,1.8372093023255813,-108.57093023255814,37.4263894000736,0.0,0.0,30.0,1,1,1,0,0,Madhya Pradesh,Ministry of Coal,0
