project_id,project_name,ministry,sector,state,implementing_agency,original_cost,revised_cost,cumulative_expenditure,planned_duration_months,elapsed_months,expected_delay_months,physical_progress,expected_progress,financial_progress,previous_physical_progress,progress_change,previous_expenditure,expenditure_change,total_milestones,completed_milestones,delayed_milestones,progress_gap,cost_overrun_percent,time_overrun_percent,cost_overrun,time_overrun,risk_score,risk_level
PRJ-00024,Infrastructure Project 00024,Ministry of Road Transport,Energy,Odisha,Infrastructure Development Authority,9527.84,12106.03,10156.58,86,19,0.0,16.93,22.09,75.89,16.32,0.61,8723.69,1432.89,17,13,1,5.16,27.06,0.0,1,0,28.16,Low
PRJ-00025,Infrastructure Project 00025,Ministry of Coal,Steel,Karnataka,Public Sector Undertaking,43851.58,44943.39,37672.85,34,23,0.0,62.72,67.65,91.0,61.65,1.07,37595.59,77.26,21,2,1,4.93,2.49,0.0,0,0,6.97,Low
PRJ-00026,Infrastructure Project 00026,Ministry of Road Transport,Coal,Telangana,Central Government Agency,45671.31,47271.23,10117.76,24,21,4.87,78.09,87.5,18.05,74.1,3.99,9395.03,722.73,5,1,2,9.41,3.5,20.29,0,1,29.51,Low
PRJ-00027,Infrastructure Project 00027,Ministry of Road Transport,Mining,Telangana,Public Sector Undertaking,4557.15,6020.27,3380.31,98,53,24.13,43.88,54.08,60.16,39.45,4.44,3334.17,46.14,6,5,1,10.2,32.11,24.62,1,1,42.8,Medium
PRJ-00028,Infrastructure Project 00028,Ministry of Housing,Transport & Logistics,Gujarat,Infrastructure Development Authority,31161.02,38641.33,32227.88,76,68,14.54,91.19,89.47,76.2,90.16,1.03,31608.88,619.0,20,14,0,-1.71,24.01,19.13,1,1,17.96,Low
PRJ-00029,Infrastructure Project 00029,Ministry of Communications,Mining,Andhra Pradesh,State Government Agency,23776.99,25598.82,6985.21,84,24,5.5,14.35,28.57,26.33,8.82,5.52,6944.02,41.19,6,1,0,14.22,7.66,6.55,0,0,24.11,Low
PRJ-00030,Infrastructure Project 00030,Ministry of Coal,Energy,Odisha,Public Sector Undertaking,18957.71,25622.88,6121.13,51,25,5.8,60.37,49.02,25.15,54.66,5.71,5299.18,821.95,18,18,0,-11.35,35.16,11.37,1,1,44.65,Medium
PRJ-00031,Infrastructure Project 00031,Ministry of Jal Shakti,Water & Sanitation,Odisha,Central Government Agency,26700.97,31343.73,6869.24,113,46,8.03,31.07,40.71,15.95,26.4,4.67,6110.03,759.21,29,14,2,9.63,17.39,7.1,1,0,36.55,Medium
PRJ-00032,Infrastructure Project 00032,Ministry of Power,Communication,Tamil Nadu,Public Sector Undertaking,16971.72,20815.09,16588.66,76,24,15.98,18.65,31.58,73.4,17.95,0.7,14583.42,2005.23,20,10,0,12.92,22.65,21.02,1,1,32.59,Low
PRJ-00033,Infrastructure Project 00033,Ministry of Coal,Coal,Andhra Pradesh,State Government Agency,13006.46,15410.71,4222.28,67,7,6.99,2.44,10.45,22.39,0.5,1.94,4149.55,72.73,23,19,0,8.01,18.49,10.43,1,1,17.85,Low
PRJ-00034,Infrastructure Project 00034,Ministry of Road Transport,Social Infrastructure,Telangana,Infrastructure Development Authority,24134.83,25310.33,21310.5,36,42,1.58,100.0,100.0,88.0,95.23,4.77,19803.07,1507.43,9,8,0,0.0,4.87,4.39,0,0,0.0,Low
PRJ-00035,Infrastructure Project 00035,Ministry of Railways,Transport & Logistics,Maharashtra,Infrastructure Development Authority,20514.64,20714.32,13986.55,34,43,0.0,100.0,100.0,70.71,98.11,1.89,12656.94,1329.61,7,4,0,0.0,0.97,0.0,0,0,1.46,Low
PRJ-00036,Infrastructure Project 00036,Ministry of Jal Shakti,Steel,Uttar Pradesh,Infrastructure Development Authority,22679.64,25791.34,13204.88,40,35,7.33,89.33,87.5,39.5,85.88,3.45,12545.66,659.22,25,18,1,-1.83,13.72,18.31,1,1,26.24,Low
PRJ-00037,Infrastructure Project 00037,Ministry of Railways,Water & Sanitation,Gujarat,State Government Agency,37111.83,40094.17,24908.56,28,12,6.03,48.14,42.86,59.58,41.77,6.38,24348.42,560.13,19,14,1,-5.29,8.04,21.53,0,1,22.85,Low
PRJ-00038,Infrastructure Project 00038,Ministry of Housing,Social Infrastructure,Bihar,State Government Agency,28340.59,29159.39,6761.5,46,49,2.77,100.0,100.0,15.68,95.11,4.89,6743.13,18.37,17,17,0,0.0,2.89,6.01,0,0,20.11,Low
PRJ-00039,Infrastructure Project 00039,Ministry of Power,Coal,Maharashtra,State Government Agency,7754.07,10908.87,8622.97,46,3,15.24,19.21,6.52,81.67,16.53,2.68,7584.52,1038.45,25,20,0,-12.69,40.69,33.14,1,1,42.3,Medium
PRJ-00040,Infrastructure Project 00040,Ministry of Steel,Communication,Bihar,Central Government Agency,17445.62,17712.25,7947.38,93,90,6.89,87.75,96.77,47.1,84.07,3.67,7283.02,664.37,15,4,1,9.03,1.53,7.4,0,0,15.52,Low
PRJ-00041,Infrastructure Project 00041,Ministry of Steel,Coal,Gujarat,State Government Agency,15084.86,16268.89,6907.54,72,47,9.51,57.36,65.28,43.63,53.09,4.28,6409.07,498.47,23,13,0,7.91,7.85,13.21,0,1,28.88,Low
PRJ-00042,Infrastructure Project 00042,Ministry of Road Transport,Steel,Karnataka,State Government Agency,5283.63,6017.78,2835.95,110,57,7.35,41.96,51.82,43.27,37.92,4.04,2582.82,253.13,12,6,0,9.85,13.89,6.68,1,0,17.62,Low
PRJ-00043,Infrastructure Project 00043,Ministry of Coal,Communication,Maharashtra,Public Sector Undertaking,44389.91,56550.63,39329.84,39,6,0.0,8.18,15.38,72.99,7.2,0.98,34159.28,5170.56,22,6,0,7.2,27.4,0.0,1,0,22.51,Low
PRJ-00044,Infrastructure Project 00044,Ministry of Housing,Transport & Logistics,Maharashtra,State Government Agency,45544.61,45751.12,32690.26,60,40,0.0,76.68,66.67,72.28,68.8,7.88,30380.37,2309.89,25,19,0,-10.01,0.45,0.0,0,0,0.0,Low
PRJ-00045,Infrastructure Project 00045,Ministry of Communications,Social Infrastructure,Odisha,Public Sector Undertaking,25696.01,30229.83,11709.92,49,31,1.04,56.52,63.27,40.78,51.31,5.21,10252.49,1457.43,15,8,2,6.75,17.64,2.12,1,0,12.82,Low
PRJ-00046,Infrastructure Project 00046,Ministry of Housing,Water & Sanitation,Tamil Nadu,Public Sector Undertaking,6973.75,9052.47,3485.35,115,64,7.73,52.0,55.65,37.38,44.67,7.32,3108.13,377.22,26,3,1,3.65,29.81,6.72,1,0,32.27,Low
PRJ-00047,Infrastructure Project 00047,Ministry of Jal Shakti,Communication,Gujarat,Public Sector Undertaking,19922.97,20655.94,15019.48,96,28,0.0,26.36,29.17,67.99,25.75,0.61,14844.28,175.2,12,10,1,2.81,3.68,0.0,0,0,19.27,Low
PRJ-00048,Infrastructure Project 00048,Ministry of Communications,Water & Sanitation,Odisha,Central Government Agency,411.9,483.15,291.07,70,14,9.7,16.11,20.0,64.41,14.11,2.0,269.7,21.37,12,4,1,3.89,17.3,13.85,1,1,24.72,Low
PRJ-00049,Infrastructure Project 00049,Ministry of Coal,Energy,Gujarat,Central Government Agency,47211.36,52638.64,41559.1,82,89,11.01,100.0,100.0,85.69,97.08,2.92,38063.91,3495.19,24,9,1,0.0,11.5,13.43,1,1,20.93,Low
PRJ-00050,Infrastructure Project 00050,Ministry of Communications,Coal,Rajasthan,Central Government Agency,26583.72,27217.97,15768.03,36,20,0.0,61.39,55.56,58.34,53.88,7.51,13878.74,1889.29,16,2,0,-5.84,2.39,0.0,0,0,9.85,Low
PRJ-00051,Infrastructure Project 00051,Ministry of Housing,Transport & Logistics,Karnataka,Public Sector Undertaking,38394.34,51673.9,34343.44,48,41,13.6,79.96,85.42,70.39,74.24,5.72,31308.64,3034.8,21,13,0,5.45,34.59,28.34,1,1,34.84,Low
PRJ-00052,Infrastructure Project 00052,Ministry of Railways,Water & Sanitation,Maharashtra,Central Government Agency,2398.27,2867.78,737.55,93,41,18.07,29.74,44.09,26.55,24.88,4.86,680.83,56.72,29,7,1,14.34,19.58,19.43,1,1,37.14,Medium
PRJ-00053,Infrastructure Project 00053,Ministry of Communications,Transport & Logistics,West Bengal,Infrastructure Development Authority,11141.24,14922.44,11296.71,43,51,2.51,100.0,100.0,77.42,98.2,1.8,10917.45,379.26,22,16,0,0.0,33.94,5.85,1,0,19.82,Low
PRJ-00054,Infrastructure Project 00054,Ministry of Jal Shakti,Mining,Telangana,Central Government Agency,29067.3,33034.17,23045.06,63,27,0.0,43.7,42.86,74.18,39.73,3.97,22764.9,280.16,28,5,0,-0.84,13.65,0.0,1,0,4.14,Low
PRJ-00055,Infrastructure Project 00055,Ministry of Power,Coal,Telangana,State Government Agency,49575.05,59526.54,44144.55,56,8,11.14,9.22,14.29,68.31,1.78,7.44,43443.75,700.8,5,0,0,5.06,20.07,19.9,1,1,21.85,Low
PRJ-00056,Infrastructure Project 00056,Ministry of Housing,Mining,Gujarat,Infrastructure Development Authority,44099.61,50625.2,11790.61,62,33,0.0,60.12,53.23,26.55,59.2,0.93,11124.39,666.22,6,5,0,-6.9,14.8,0.0,1,0,3.81,Low
PRJ-00057,Infrastructure Project 00057,Ministry of Power,Energy,Maharashtra,Public Sector Undertaking,5482.98,6070.57,4829.88,116,24,6.34,20.79,20.69,80.23,18.02,2.77,4380.04,449.84,22,11,1,-0.1,10.72,5.47,1,0,7.08,Low
PRJ-00058,Infrastructure Project 00058,Ministry of Coal,Water & Sanitation,Rajasthan,Infrastructure Development Authority,48678.43,54397.27,23984.55,74,77,3.9,100.0,100.0,36.85,98.69,1.31,21125.08,2859.47,18,3,0,0.0,11.75,5.27,1,0,2.57,Low
PRJ-00059,Infrastructure Project 00059,Ministry of Housing,Transport & Logistics,West Bengal,Infrastructure Development Authority,4256.7,4518.47,1788.72,44,49,12.79,96.41,100.0,44.08,94.57,1.84,1731.54,57.18,10,10,1,3.59,6.15,29.07,0,1,25.21,Low
PRJ-00060,Infrastructure Project 00060,Ministry of Steel,Steel,Uttar Pradesh,Public Sector Undertaking,18521.04,20915.75,14040.27,102,29,6.67,29.96,28.43,68.11,23.58,6.37,13026.16,1014.11,7,7,1,-1.52,12.93,6.54,1,0,18.69,Low
PRJ-00061,Infrastructure Project 00061,Ministry of Housing,Water & Sanitation,Tamil Nadu,State Government Agency,34325.43,35917.49,9525.13,111,74,0.2,51.45,66.67,31.64,44.57,6.88,8410.9,1114.23,12,5,2,15.22,4.64,0.18,0,0,14.88,Low
PRJ-00062,Infrastructure Project 00062,Ministry of Housing,Water & Sanitation,Gujarat,State Government Agency,5380.77,6358.15,367.61,25,3,0.99,6.05,12.0,10.38,5.72,0.33,330.64,36.97,5,1,1,5.95,18.16,3.94,1,0,28.55,Low
PRJ-00063,Infrastructure Project 00063,Ministry of Road Transport,Social Infrastructure,Gujarat,Public Sector Undertaking,1724.57,2363.4,759.97,30,13,4.53,48.67,43.33,40.58,43.92,4.75,685.84,74.13,26,2,0,-5.33,37.04,15.11,1,1,28.53,Low
PRJ-00064,Infrastructure Project 00064,Ministry of Road Transport,Coal,Karnataka,State Government Agency,16551.52,17549.46,3147.29,93,20,6.7,27.74,21.51,15.87,26.11,1.63,2750.51,396.77,28,2,2,-6.24,6.03,7.21,0,0,7.72,Low
PRJ-00065,Infrastructure Project 00065,Ministry of Housing,Social Infrastructure,Uttar Pradesh,State Government Agency,20882.98,23193.59,11240.55,74,38,3.96,46.39,51.35,52.47,44.7,1.69,10190.18,1050.37,8,2,2,4.96,11.06,5.35,1,0,20.88,Low
PRJ-00066,Infrastructure Project 00066,Ministry of Coal,Social Infrastructure,Uttar Pradesh,Infrastructure Development Authority,38833.61,52738.63,20063.09,61,43,14.23,60.41,70.49,36.23,52.65,7.76,19286.25,776.84,19,6,2,10.08,35.81,23.33,1,1,37.23,Medium
PRJ-00067,Infrastructure Project 00067,Ministry of Communications,Social Infrastructure,Telangana,Central Government Agency,29995.89,31131.64,9797.48,116,12,0.0,13.74,10.34,27.76,10.7,3.03,8907.57,889.91,9,0,0,-3.39,3.79,0.0,0,0,1.15,Low
PRJ-00068,Infrastructure Project 00068,Ministry of Railways,Mining,Andhra Pradesh,State Government Agency,39122.25,41185.47,3185.71,101,4,1.08,0.0,3.96,8.69,0.0,0.0,2995.82,189.89,5,5,0,3.96,5.27,1.07,0,0,8.38,Low
PRJ-00069,Infrastructure Project 00069,Ministry of Steel,Steel,Maharashtra,Central Government Agency,1016.38,1042.92,157.06,68,54,0.0,84.57,79.41,16.44,81.02,3.55,136.6,20.45,27,20,0,-5.15,2.61,0.0,0,0,4.74,Low
PRJ-00070,Infrastructure Project 00070,Ministry of Railways,Mining,Tamil Nadu,State Government Agency,41930.05,49740.41,25192.91,99,93,7.1,93.98,93.94,58.82,93.13,0.85,22706.95,2485.96,5,5,0,-0.04,18.63,7.17,1,0,10.46,Low
PRJ-00071,Infrastructure Project 00071,Ministry of Communications,Transport & Logistics,Telangana,Public Sector Undertaking,48862.13,63248.04,47613.91,27,21,6.04,80.37,77.78,74.53,76.01,4.36,47572.78,41.13,13,12,0,-2.59,29.44,22.36,1,1,28.57,Low
PRJ-00072,Infrastructure Project 00072,Ministry of Railways,Transport & Logistics,Telangana,Central Government Agency,19899.21,20471.53,4745.62,113,13,10.44,14.36,11.5,23.48,10.53,3.83,4727.37,18.25,14,4,1,-2.86,2.88,9.24,0,0,19.24,Low
PRJ-00073,Infrastructure Project 00073,Ministry of Housing,Social Infrastructure,Rajasthan,Public Sector Undertaking,20031.32,23388.98,14606.38,66,23,7.69,33.25,34.85,61.51,32.44,0.81,13541.85,1064.52,29,3,1,1.59,16.76,11.65,1,1,21.7,Low
PRJ-00074,Infrastructure Project 00074,Ministry of Housing,Communication,Rajasthan,Infrastructure Development Authority,15468.4,17326.78,4645.3,27,28,0.61,100.0,100.0,23.9,93.65,6.35,4516.23,129.07,16,12,0,0.0,12.01,2.25,1,0,8.74,Low
PRJ-00075,Infrastructure Project 00075,Ministry of Railways,Mining,Gujarat,Infrastructure Development Authority,4488.89,4531.09,2539.17,44,24,8.03,53.9,54.55,54.66,52.01,1.89,2241.89,297.28,19,9,1,0.64,0.94,18.26,0,1,18.42,Low
PRJ-00076,Infrastructure Project 00076,Ministry of Housing,Water & Sanitation,Madhya Pradesh,Central Government Agency,21273.35,22857.31,4215.15,56,57,0.0,100.0,100.0,22.11,99.53,0.47,4125.51,89.64,9,9,1,0.0,7.45,0.0,0,0,5.42,Low
PRJ-00077,Infrastructure Project 00077,Ministry of Steel,Transport & Logistics,Madhya Pradesh,Infrastructure Development Authority,33840.69,34865.35,24578.87,91,92,5.44,96.19,100.0,76.15,92.98,3.21,23225.97,1352.9,17,7,0,3.81,3.03,5.97,0,0,17.27,Low
PRJ-00078,Infrastructure Project 00078,Ministry of Coal,Social Infrastructure,West Bengal,State Government Agency,22204.14,23822.37,12488.87,90,46,0.0,41.24,51.11,42.67,36.6,4.64,12322.58,166.29,10,1,0,9.87,7.29,0.0,0,0,11.01,Low
PRJ-00079,Infrastructure Project 00079,Ministry of Steel,Coal,Maharashtra,Infrastructure Development Authority,26861.01,31765.74,21802.73,39,32,0.33,70.63,82.05,69.0,63.89,6.74,20098.99,1703.75,12,3,0,11.42,18.26,0.84,1,0,22.78,Low
PRJ-00080,Infrastructure Project 00080,Ministry of Steel,Water & Sanitation,Tamil Nadu,Infrastructure Development Authority,37800.23,38871.83,11370.11,89,87,0.22,91.9,97.75,30.22,84.91,6.99,11094.22,275.89,5,3,0,5.86,2.83,0.24,0,0,10.15,Low
PRJ-00081,Infrastructure Project 00081,Ministry of Road Transport,Communication,Uttar Pradesh,Public Sector Undertaking,42593.53,51287.72,35631.64,103,9,4.44,4.63,8.74,73.04,0.03,4.6,33069.62,2562.03,25,1,0,4.11,20.41,4.31,1,0,17.59,Low
PRJ-00082,Infrastructure Project 00082,Ministry of Railways,Communication,Madhya Pradesh,State Government Agency,44928.34,48419.27,7137.46,44,36,0.0,82.11,81.82,18.37,82.1,0.0,7118.52,18.94,17,12,0,-0.29,7.77,0.0,0,0,8.12,Low
PRJ-00083,Infrastructure Project 00083,Ministry of Communications,Mining,Uttar Pradesh,Central Government Agency,19415.07,20366.8,11112.09,102,75,0.0,71.45,73.53,56.07,70.95,0.5,10262.98,849.11,25,13,0,2.08,4.9,0.0,0,0,4.08,Low
PRJ-00084,Infrastructure Project 00084,Ministry of Railways,Steel,Odisha,Infrastructure Development Authority,30818.69,34057.47,25859.27,85,9,3.1,30.63,10.59,73.05,30.48,0.15,24851.49,1007.79,11,6,1,-20.05,10.51,3.65,1,0,0.0,Low
PRJ-00085,Infrastructure Project 00085,Ministry of Road Transport,Transport & Logistics,Uttar Pradesh,Infrastructure Development Authority,26835.21,29121.48,3741.12,49,6,0.0,16.68,12.24,17.91,13.54,3.14,3204.52,536.6,22,8,0,-4.43,8.52,0.0,0,0,12.43,Low
PRJ-00086,Infrastructure Project 00086,Ministry of Coal,Mining,Bihar,Central Government Agency,15873.03,16024.54,12361.48,44,30,8.09,73.85,68.18,71.18,67.96,5.9,11411.71,949.77,26,22,1,-5.67,0.95,18.38,0,1,13.05,Low
PRJ-00087,Infrastructure Project 00087,Ministry of Housing,Transport & Logistics,West Bengal,Public Sector Undertaking,37348.43,44063.73,15866.3,54,48,0.0,74.66,88.89,36.16,67.47,7.19,14004.03,1862.27,9,5,2,14.23,17.98,0.0,1,0,22.84,Low
PRJ-00088,Infrastructure Project 00088,Ministry of Housing,Energy,Madhya Pradesh,Central Government Agency,33417.42,39252.74,12080.91,59,14,0.0,23.19,23.73,33.47,22.17,1.02,11467.92,612.99,17,15,0,0.54,17.46,0.0,1,0,19.74,Low
PRJ-00089,Infrastructure Project 00089,Ministry of Housing,Coal,Madhya Pradesh,State Government Agency,18702.53,19214.93,2828.46,55,53,2.98,100.0,96.36,18.91,96.32,3.68,2471.23,357.23,7,6,1,-3.64,2.74,5.42,0,0,9.36,Low
PRJ-00090,Infrastructure Project 00090,Ministry of Communications,Coal,Gujarat,State Government Agency,32859.67,34280.78,6234.02,52,23,9.4,44.15,44.23,19.73,39.43,4.72,5758.65,475.37,19,11,0,0.08,4.32,18.08,0,1,26.18,Low
PRJ-00091,Infrastructure Project 00091,Ministry of Coal,Transport & Logistics,Rajasthan,Infrastructure Development Authority,34490.93,38040.16,2185.99,24,14,0.38,51.34,58.33,9.35,49.84,1.5,2069.46,116.53,14,4,1,6.99,10.29,1.57,1,0,26.04,Low
PRJ-00092,Infrastructure Project 00092,Ministry of Steel,Mining,Madhya Pradesh,Central Government Agency,410.7,425.96,72.03,93,58,0.0,62.41,62.37,13.52,61.31,1.1,64.87,7.16,19,19,0,-0.05,3.72,0.0,0,0,12.13,Low
PRJ-00093,Infrastructure Project 00093,Ministry of Road Transport,Steel,Gujarat,Public Sector Undertaking,1599.21,1862.5,853.19,26,26,0.31,97.31,100.0,50.93,95.15,2.16,747.6,105.59,24,23,0,2.69,16.46,1.2,1,0,17.34,Low
PRJ-00094,Infrastructure Project 00094,Ministry of Road Transport,Energy,Karnataka,Central Government Agency,34816.47,37108.31,23690.11,41,30,4.98,75.3,73.17,62.71,68.58,6.72,22326.15,1363.96,21,14,1,-2.13,6.58,12.14,0,1,8.5,Low
PRJ-00095,Infrastructure Project 00095,Ministry of Steel,Steel,Madhya Pradesh,Public Sector Undertaking,28342.67,33835.23,22874.83,42,44,0.48,100.0,100.0,71.08,94.35,5.65,20709.15,2165.69,9,0,1,0.0,19.38,1.14,1,0,14.28,Low
PRJ-00096,Infrastructure Project 00096,Ministry of Road Transport,Social Infrastructure,Rajasthan,Infrastructure Development Authority,45483.1,46547.45,12856.24,53,24,0.0,38.67,45.28,22.27,31.91,6.76,12339.16,517.09,18,15,0,6.62,2.34,0.0,0,0,1.67,Low
PRJ-00097,Infrastructure Project 00097,Ministry of Coal,Energy,Karnataka,Public Sector Undertaking,2468.05,2909.0,346.58,38,20,4.26,64.02,52.63,17.71,57.72,6.3,314.12,32.46,28,6,0,-11.39,17.87,11.21,1,1,19.24,Low
PRJ-00098,Infrastructure Project 00098,Ministry of Railways,Coal,Tamil Nadu,Public Sector Undertaking,7376.51,8033.25,6618.47,84,43,0.0,49.88,51.19,87.45,43.54,6.33,6073.6,544.87,26,16,0,1.31,8.9,0.0,0,0,0.0,Low
PRJ-00099,Infrastructure Project 00099,Ministry of Communications,Mining,Bihar,Central Government Agency,24312.11,27885.78,13562.13,111,113,13.98,95.27,100.0,49.28,89.2,6.07,12028.03,1534.1,14,6,2,4.73,14.7,12.6,1,1,28.73,Low
PRJ-00100,Infrastructure Project 00100,Ministry of Coal,Water & Sanitation,Andhra Pradesh,Infrastructure Development Authority,33032.52,37841.03,18783.7,89,27,3.56,22.98,30.34,45.62,19.8,3.18,18520.52,263.18,16,5,1,7.35,14.56,3.99,1,0,8.64,Low
PRJ-00101,Infrastructure Project 00101,Ministry of Jal Shakti,Transport & Logistics,Madhya Pradesh,Infrastructure Development Authority,9458.16,10250.96,5782.97,38,42,0.0,100.0,100.0,60.36,98.65,1.35,5343.13,439.84,10,2,1,0.0,8.38,0.0,0,0,8.0,Low
